99,5,1320
97,5,1269
95,5,1228
93,5,994
91,5,1030
88,5,970
86,5,940
83,5,723
78,5,415
74,7,8596
70,7,9089
64,7,5418
57,7,3169
52,7,1863
47,7,1337
43,7,708
39,7,481
34,9,1914
29,9,475
24,15,2781
20,15,181
17,15,27
13,15,2
10,15,1
5,15,0
3,15,1
